Requirement,Context (Keywords),Name of Doc,Sec/NotSec,Labeled by,Comments,Label,Labeled by,Comments,,,,,,
"""The system, prior to access to any PHI, shall display a configurable warning or login banner (e.g. 'The system should only be accessed by authorized users').",ACCESS_CONTROL_IDENTITY,CCHIT,1,Riaz,,Access control,Vasily,,,,,,,
"The system shall be able to generate a backup copy of the application data, security credentials, and log or audit files.",AVAILABILITY,CCHIT,1,Riaz,,Availability,Vasily,,,,,,,
The system restore functionality shall result in a fully operational and secure state.,INTEGRITY,CCHIT,1,Riaz,,Integrity?,Vasily,Might be availability,,,,,,
"This state shall include the restoration of the application data, security credentials, and log or audit files to their previous state.",INTEGRITY,CCHIT,1,Riaz,,Integrity,Vasily,,,,,,,
If the system claims to be available 24 by 7 then the system shall have ability to run a backup concurrently with the operation of the application.,"AVAILABILITY,INTEGRITY",CCHIT,1,Riaz,,Availability,Vasily,,,,,,,
"The federal Personal Information Protection and Electronic Documents Act (PIPEDA), for example, requires all organisations to be responsible for personal information in their possession or custody, including information that has been transferred to a third party for processing.",MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"Organisations hosting components of the EHRi, should assess, by means of a Privacy Impact Assessment, the risks to personal privacy associated with implementation of the hosted components and should implement appropriate privacy controls to mitigate identified risks.",MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"Comprehensive Privacy Impact Assessments need to address such issues as privacy risk management, record linkages, and security safeguards.",MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"To satisfy this legal requirement, healthcare organisations must identify the purposes for which they collect, use and disclose a patient or person�s PHI.",MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"The goal is to make a reasonable effort to ensure that patients or persons understand the purposes for which organisations connected to the EHRi and organisations hosting components of the EHRi collect, use and disclose their PHI.24",OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"However, the novelty of the EHR and the anxiety it can arouse about the protection of privacy interests make it imperative that patients or persons be informed, in an appropriate way, of the prospective uses and disclosures of their personal information.",OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
Organisations connecting to the EHRi or organisations hosting components of the EHRi should only collect PHI necessary to fulfill the purposes that they have identified (see Privacy Requirement 5).,OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"Rationale:  The ultimate goal is to have no secret, or unspecified, collections, uses or disclosures of personal information held in an EHRi or in POS systems connected to the EHRi.",MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"Such patients or persons have a right to know what uses and disclosures, in particular, are mandated by law, such as for mandatory reporting of infectious diseases or suspected child abuse or for law enforcement.",OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"Laws may require express, implied or deemed consent for specific collections, uses and disclosures of PHI.",PRIVACY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"Express consent includes any action by a patient or person or their authorized representative (e.g. parent, guardian or substitute decision maker) specifically to authorize the collection, use or disclosure of personal information (e.g. a signature, a check-off box, a verbal approval).",PRIVACY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"The assumption of reasonableness usually rests on how well the patient or person was informed about the intended collection, use, or disclosure of his or her personal information.",PRIVACY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"An organisation should be able to demonstrate that it complied with applicable legislative requirements and that the patient or person had a reasonable opportunity to know that information was going to be collected and used for specific purposes and persisted with the action that resulted in the information flow.26, 27",MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"It is assumed that based on jurisdictional requirements for consent that at least some POS systems connected to the EHRi may eventually have specific �consent fields� that will allow POS users to enter or �check-off�how consent was obtained, withdrawn or revoked in those cases where consent was required for specific activities.",ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
The EHRi must reflect legal obligations in its privacy requirements in all of their relative sophistication in this novel area.,PRIVACY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"The ultimate obligation is to meet the wishes of the patient or person, in those circumstances where he or she is able to place express instructions on the allowable uses and disclosures of his or her PHI.29",PRIVACY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"In addition to meeting these legal requirements, healthcare organisations should also seek to meet high ethical and moral standards for information consent, which is vital to the protection of privacy as an aspect of human dignity and the protection of human rights.",OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"It is important to note that a patient or person may withdraw consent at any time, subject to legal or contractual restrictions.",PRIVACY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"The POS system has to ensure that those accessing this PHI only obtain access to information that is legitimately available on the basis of consent or legal authorization to use or disclose (e.g., auditing or law enforcement).",PRIVACY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"Consequently, those organisations wishing to disclose PHI to another jurisdiction must do so in a manner that respects the legal requirements for consent in their own jurisdiction (i.e. the jurisdiction of the disclosing organisation).",PRIVACY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"As a practical matter, a healthcare organisation wishing to access PHI from another jurisdiction must do so in a manner that respects the legal requirements for consent to disclose PHI in the jurisdiction of the organisation that holds the data as well as satisfy all the legal requirements for consent to access PHI in its own jurisdiction.","MANAGEMENT,PRIVACY",ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
Information contained within a patient or person's EHR may carry with it the legal requirements for consent from multiple jurisdictions (see Privacy Requirement 12).,OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"Furthermore, some health data protection legislation requires that health information custodians notify a patient or person if his or her information is stolen, lost, or accessed by unauthorized persons.38 The individual(s) responsible for facilitating an organisation�s privacy compliance will be greatly assisted in determining when a potential �unauthorized�access or disclosure of PHI has taken place if they are notified when an individual�s consent directives are overridden.",PRIVACY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"As logs will themselves contain confidential information, they must be made both secure and tamper-proof.","CONFIDENTIALITY,INTEGRITY",ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"In addition to logging overrides of a patient or person's consent directives (Item b in the list above) and alerting accountable individuals that a consent override has occurred (item c in the list above), there is also a related requirement to notify patients or persons when access has been deemed inappropriate (see Privacy Requirement 20).","PRIVACY,ACCOUNTABILITY",ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
"Healthcare providers require all relevant PHI from a patient or person�s medical history in order to definitively diagnose and safely treat a patient or person. Therefore, when patients or persons request that their healthcare provider mask or lock components of their PHI, it may not be possible for their healthcare team to provide appropriate care.",PRIVACY,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"Where required to do so by law ,the EHRi and POS systems connected to the EHRi must have the ability to indicate when consent is given on behalf of a patient or person by a substitute decision maker (e.g. consent given by an authorized representative), as well as identify this substitute decision maker and the substitute decision maker�s relation to the patient or person.",ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"Organisations connecting to the EHRi and organisations hosting components of the EHRi must not, as a condition of the supply of a service, require a patient or person to consent to the collection, use or disclosure of PHI beyond that required to fulfill the explicitly specified and legitimate purposes.",PRIVACY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
